基金名稱,匯豐成功基金,富蘭克林華美傳產基金,兆豐國際豐台灣基金,保德信新世紀基金,貝萊德寶利基金,安聯台灣智慧基金,野村積極成長基金,安聯台灣大壩基金,野村成長基金,路博邁AR台灣股票基金T月配型(基金之配息來源可能為本金),路博邁AR台灣股票基金T累積型(基金之配息來源可能為本金),新光台灣富貴基金,柏瑞巨人基金,匯豐龍鳳基金,匯豐龍鳳基金I類型,匯豐台灣精典基金,凱基開創基金,保德信金滿意基金,凱基台灣精五門基金,華南永昌永昌基金,保德信高成長基金,德信大發基金,兆豐國際第一基金,兆豐國際國民基金,合庫台灣基金,野村優質基金,日盛MIT主流基金,摩根台灣增長基金,華南永昌物聯網精選基金,群益奧斯卡基金,統一大滿貫基金,聯博大利基金,台新主流基金,復華高成長基金,富邦富邦基金,保德信第一基金,復華復華基金,群益長安基金,日盛上選基金,日盛首選基金,日盛精選五虎基金,摩根台灣金磚基金-累積型,德銀遠東DWS台灣旗艦基金,宏利台灣動力基金A類,國泰小龍基金(台幣),永豐永豐基金,野村台灣運籌基金,野村鴻運基金,景順潛力基金,富邦台灣心基金,群益馬拉松基金,國泰國泰基金,國泰國泰基金-I類型,景順主流基金,群益葛萊美基金,瀚亞菁華基金,富蘭克林華美第一富基金,復華全方位基金,富邦精準基金,富邦高成長基金,元大二○○一基金,統一台灣動力基金,瀚亞外銷基金,統一經建基金,元大多福基金,統一黑馬基金,統一全天候基金,富邦長紅基金,日盛日盛基金,元大經貿基金,新光大三通基金,統一龍馬基金,元大卓越基金,統一統信基金,第一金創新趨勢基金,元大多多基金,元大新主流基金,鋒裕匯理阿波羅基金,華頓台灣基金,摩根台灣金磚基金-機構法人型,群益馬拉松基金I類型,路博邁AR台灣股票基金N月配型(基金之配息來源可能為本金),路博邁AR台灣股票基金N累積型(基金之配息來源可能為本金),宏利臺灣股息收益基金I類,宏利台灣動力基金I類,國泰小龍基金-I類型(美元),永豐永豐基金-I類型,路博邁AR台灣股票基金I月配型(基金之配息來源可能為本金),路博邁AR台灣股票基金I累積型(基金之配息來源可能為本金)
基金評等, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
主要投資區域,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣,台灣
單筆最低申購,"3,000元","3,000元","3,000元","10,000元","3,000元","10,000元","10,000元","10,000元","10,000元","3,000元","3,000元","10,000元","10,000元","10,000元","30,000,000元","10,000元","10,000元","10,000元","10,000元","10,000元","10,000元","3,000元","3,000元","3,000元","10,000元","10,000元","10,000元","3,000元","10,000元","3,000元","3,000元","10,000元","3,000元","3,000元","3,000元","10,000元","3,000元","3,000元","10,000元","10,000元","10,000元","3,000元","10,000元","3,000元","1,000元","10,000元","10,000元","10,000元","3,000元","3,000元","3,000元","1,000元", 元,"3,000元","3,000元","3,000元","3,000元","3,000元","3,000元","3,000元","3,000元","3,000元","3,000元","3,000元","1,000元","3,000元","3,000元","3,000元","10,000元","1,000元","10,000元","3,000元","1,000元","3,000元","10,000元","1,000元","1,000元","10,000元","10,000元","50,000,000元", 元,"10,000元","10,000元","50,000,000元","50,000,000元","3,000,000元","50,000,000元","10,000,000元","10,000,000元"
風險報酬等級,RR5,RR5,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR5,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR5,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4,RR4
定時定額, ,有,有,有,有,有,有,有,有,有,有,有,有,有, ,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有, ,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有, ,有,有, , , , ,有,有
管理年費(%),0.7,1.6,1.6,1.6,1.6,1.6,1.5,1.6,1.6,1.8,1.8,1.2,1.6,1.2,0.6,1.5,1.6,1.6,1.6,1.2,1.2,1.5,1.5,1.5,1.6,1.5,1.6,1.2,1.6,1.6,1.6,1.6,1.6,1.6,1.2,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.6,1.2,1.6,1.6,1.6,1.5,1.5,1.2,1.6,1.6,1.6,1.6,1.58,1.6,1.2,1.6,1.75,1.6,1.6,1.6,0.6,0.6,1.8,1.8,0.6,0.6,0.75,0.6,0.9,1.8
手續費(%),2,3,2,2,1.6,4,1.5,4,2,5,5,1.5,3,2,0,2,1.5,2,1.5,2,2,1.5,2,2,2,3,1.5,1.5,3,1.5,1.4,1.5,2,1.5,1,2,1.5,1.5,1.5,1.5,1.5,2,1.5,2,1.5,3,2,2,1.4,1.5,2,1.5,0,1.4,1.5,4,3,1.5,1,1.5,1.5,1.4,4,1.4,1.5,1.4,1.4,1.5,1.5,1.5,2,1.4,1.5,1.4,2,1.5,1.5,1.5,1.5,0,0,0,0,N/A,N/A,0,N/A,5,5
保管費(%),0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.2,0.2,0.15,0.15,0.12,0.12,0.13,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.17,0.15,0.14,0.15,0.2,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.2,0.2,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.2,0.15,0.15,0.15,0.15,0.14,0.2,0.15,0.15,0.15,0.15,0.14,0.12,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.2,0.2,0.15,0.15,0.15,0.15,0.2,0.2
基金統編,76941376,26310310,10341837,17602625,19330712,48997911,1031564,17604124,17146752,42532205B ,42532205A ,974241,20094820,01031298A ,01031298B ,73987671,13539952,92013967,25612029,973762,1032183,97972846,965469,1050148,26320632,19330754A ,26273336,1032162,42298518,48675778,17605622A ,97997635,48858663,73998086,00974018A ,20097447,81587889,81591434,81584975,48948481,17147078,25636367A ,18499732,17144889A ,01031874A ,81594690,988316,968493,92019786,17148301,97984293A ,17612497A ,17612497B ,17140568,48749899,97990696,15733973,21759676,92002384,81585475,974066,48934304,92012572,81581724,1032058,92002244,01031699A ,92010477,20084317,83863951,13986924,92012762,92026219,77537493,26202396,92001765,17139204,17597600,14694495,25636367B ,97984293B ,42532205D ,42532205C ,73982057B ,17144889B ,01031874B , , , 
配息頻率, , , , , , , , , ,月配, , , , , , , , , , , ,年配, ,年配, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,年配, , ,年配, , , , , , , , , ,月配, , , , , , , 
