B01. 兆豐國際電子基金
B02. 第一金電子基金
B03. 匯豐龍騰電子基金
B04. 元大高科技基金
B05. 景順台灣科技基金
B06. 瀚亞高科技基金
B07. 瀚亞電通網基金
B08. 保德信科技島基金
B09. 統一奔騰基金
B10. 富邦科技基金
B11. 摩根新興科技基金
B12. 新光創新科技基金
B13. 群益創新科技基金
B14. 德信數位時代基金
B15. 日盛高科技基金
B16. 復華數位經濟基金
B17. 永豐高科技基金
B18. 永豐領航科技基金
B19. 野村e科技基金
B20. 野村高科技基金
B21. 聯邦精選科技基金
B22. 安聯台灣科技基金
B23. 國泰科技生化基金
B24. 富蘭克林華美高科技基金
B25. 台新2000高科技基金
